region,year,category,subcategory,subcategory_contribution,subcategory_weight_total,subcategory_score
강원,2023,가족·생활,가사수행 격차,4.377720959159697,0.0551102204408817,79.43573667711597
강원,2024,가족·생활,가사수행 격차,4.377720959159697,0.0551102204408817,79.43573667711597
경기,2016,가족·생활,가사수행 격차,2.4798639424442745,0.0551102204408817,44.9982584465343
경기,2017,가족·생활,가사수행 격차,2.4798639424442745,0.0551102204408817,44.9982584465343
경기,2018,가족·생활,가사수행 격차,2.4798639424442745,0.0551102204408817,44.9982584465343
경기,2019,가족·생활,가사수행 격차,2.4798639424442745,0.0551102204408817,44.9982584465343
경기,2020,가족·생활,가사수행 격차,2.4798639424442745,0.0551102204408817,44.9982584465343
경기,2021,가족·생활,가사수행 격차,2.4740047509724787,0.0551102204408817,44.89194075400972
경기,2022,가족·생활,가사수행 격차,2.4681455595006825,0.0551102204408817,44.785623061485126
경기,2023,가족·생활,가사수행 격차,2.462286368028887,0.0551102204408817,44.67930536896055
경기,2024,가족·생활,가사수행 격차,2.462286368028887,0.0551102204408817,44.67930536896055
경남,2016,가족·생활,가사수행 격차,1.5411775932818013,0.0551102204408817,27.965367965367964
경남,2017,가족·생활,가사수행 격차,1.5411775932818013,0.0551102204408817,27.965367965367964
경남,2018,가족·생활,가사수행 격차,1.5411775932818013,0.0551102204408817,27.965367965367964
경남,2019,가족·생활,가사수행 격차,1.5411775932818013,0.0551102204408817,27.965367965367964
경남,2020,가족·생활,가사수행 격차,1.5411775932818013,0.0551102204408817,27.965367965367964
경남,2021,가족·생활,가사수행 격차,1.4876313473507854,0.0551102204408817,26.993746993746985
경남,2022,가족·생활,가사수행 격차,1.4340851014197704,0.0551102204408817,26.022126022126024
경남,2023,가족·생활,가사수행 격차,1.380538855488755,0.0551102204408817,25.050505050505052
경남,2024,가족·생활,가사수행 격차,1.380538855488755,0.0551102204408817,25.050505050505052
경북,2016,가족·생활,가사수행 격차,1.8243109097231136,0.0551102204408817,33.102950689157595
경북,2017,가족·생활,가사수행 격차,1.8243109097231136,0.0551102204408817,33.102950689157595
경북,2018,가족·생활,가사수행 격차,1.8243109097231136,0.0551102204408817,33.102950689157595
경북,2019,가족·생활,가사수행 격차,1.8243109097231136,0.0551102204408817,33.102950689157595
경북,2020,가족·생활,가사수행 격차,1.8243109097231136,0.0551102204408817,33.102950689157595
경북,2021,가족·생활,가사수행 격차,2.2005788625234413,0.0551102204408817,39.93050372360718
경북,2022,가족·생활,가사수행 격차,2.576846815323768,0.0551102204408817,46.75805675805675
경북,2023,가족·생활,가사수행 격차,2.953114768124096,0.0551102204408817,53.58560979250634
경북,2024,가족·생활,가사수행 격차,2.953114768124096,0.0551102204408817,53.58560979250634
광주,2016,가족·생활,가사수행 격차,2.279271186050261,0.0551102204408817,41.35841170323929
광주,2017,가족·생활,가사수행 격차,2.279271186050261,0.0551102204408817,41.35841170323929
광주,2018,가족·생활,가사수행 격차,2.279271186050261,0.0551102204408817,41.35841170323929
광주,2019,가족·생활,가사수행 격차,2.279271186050261,0.0551102204408817,41.35841170323929
광주,2020,가족·생활,가사수행 격차,2.279271186050261,0.0551102204408817,41.35841170323929
광주,2021,가족·생활,가사수행 격차,2.9560992080859396,0.0551102204408817,53.63976381217761
광주,2022,가족·생활,가사수행 격차,3.632927230121618,0.0551102204408817,65.92111592111591
광주,2023,가족·생활,가사수행 격차,4.309755252157296,0.0551102204408817,78.20246803005422
광주,2024,가족·생활,가사수행 격차,4.309755252157296,0.0551102204408817,78.20246803005422
대구,2016,가족·생활,가사수행 격차,0.4232054695049654,0.0551102204408817,7.679255610290101
대구,2017,가족·생활,가사수행 격차,0.4232054695049654,0.0551102204408817,7.679255610290101
대구,2018,가족·생활,가사수행 격차,0.4232054695049654,0.0551102204408817,7.679255610290101
대구,2019,가족·생활,가사수행 격차,0.4232054695049654,0.0551102204408817,7.679255610290101
대구,2020,가족·생활,가사수행 격차,0.4232054695049654,0.0551102204408817,7.679255610290101
대구,2021,가족·생활,가사수행 격차,0.8791575122512859,0.0551102204408817,15.952712676850611
대구,2022,가족·생활,가사수행 격차,1.3351095549976066,0.0551102204408817,24.226169743411123
대구,2023,가족·생활,가사수행 격차,1.7910615977439273,0.0551102204408817,32.49962680997164
대구,2024,가족·생활,가사수행 격차,1.7910615977439273,0.0551102204408817,32.49962680997164
대전,2016,가족·생활,가사수행 격차,0.9573608080967626,0.0551102204408817,17.371747026919444
대전,2017,가족·생활,가사수행 격차,0.9573608080967626,0.0551102204408817,17.371747026919444
대전,2018,가족·생활,가사수행 격차,0.9573608080967626,0.0551102204408817,17.371747026919444
대전,2019,가족·생활,가사수행 격차,0.9573608080967626,0.0551102204408817,17.371747026919444
대전,2020,가족·생활,가사수행 격차,0.9573608080967626,0.0551102204408817,17.371747026919444
대전,2021,가족·생활,가사수행 격차,2.372529221917653,0.0551102204408817,43.05062115406942
대전,2022,가족·생활,가사수행 격차,3.787697635738544,0.0551102204408817,68.72949528121941
대전,2023,가족·생활,가사수행 격차,5.202866049559435,0.0551102204408817,94.4083694083694
대전,2024,가족·생활,가사수행 격차,5.202866049559435,0.0551102204408817,94.4083694083694
부산,2016,가족·생활,가사수행 격차,1.231143184014444,0.0551102204408817,22.33965268448028
부산,2017,가족·생활,가사수행 격차,1.231143184014444,0.0551102204408817,22.33965268448028
부산,2018,가족·생활,가사수행 격차,1.231143184014444,0.0551102204408817,22.33965268448028
부산,2019,가족·생활,가사수행 격차,1.231143184014444,0.0551102204408817,22.33965268448028
부산,2020,가족·생활,가사수행 격차,1.231143184014444,0.0551102204408817,22.33965268448028
부산,2021,가족·생활,가사수행 격차,1.2073590713629412,0.0551102204408817,21.908079149458462
부산,2022,가족·생활,가사수행 격차,1.1835749587114393,0.0551102204408817,21.476505614436668
부산,2023,가족·생활,가사수행 격차,1.1597908460599364,0.0551102204408817,21.044932079414853
부산,2024,가족·생활,가사수행 격차,1.1597908460599364,0.0551102204408817,21.044932079414853
서울,2016,가족·생활,가사수행 격차,1.8187167986767176,0.0551102204408817,33.00144300144299
서울,2017,가족·생활,가사수행 격차,1.8187167986767176,0.0551102204408817,33.00144300144299
서울,2018,가족·생활,가사수행 격차,1.8187167986767176,0.0551102204408817,33.00144300144299
서울,2019,가족·생활,가사수행 격차,1.8187167986767176,0.0551102204408817,33.00144300144299
서울,2020,가족·생활,가사수행 격차,1.8187167986767176,0.0551102204408817,33.00144300144299
서울,2021,가족·생활,가사수행 격차,1.743881852374699,0.0551102204408817,31.643528884908186
서울,2022,가족·생활,가사수행 격차,1.6690469060726814,0.0551102204408817,30.28561476837339
서울,2023,가족·생활,가사수행 격차,1.594211959770663,0.0551102204408817,28.927700651838585
서울,2024,가족·생활,가사수행 격차,1.594211959770663,0.0551102204408817,28.927700651838585
세종,2016,가족·생활,가사수행 격차,1.7880862984864088,0.0551102204408817,32.44563865253521
세종,2017,가족·생활,가사수행 격차,1.7880862984864088,0.0551102204408817,32.44563865253521
세종,2018,가족·생활,가사수행 격차,1.7880862984864088,0.0551102204408817,32.44563865253521
세종,2019,가족·생활,가사수행 격차,1.7880862984864088,0.0551102204408817,32.44563865253521
세종,2020,가족·생활,가사수행 격차,1.7880862984864088,0.0551102204408817,32.44563865253521
세종,2021,가족·생활,가사수행 격차,1.8446124140271056,0.0551102204408817,33.47133071271003
세종,2022,가족·생활,가사수행 격차,1.901138529567802,0.0551102204408817,34.497022772884854
세종,2023,가족·생활,가사수행 격차,1.957664645108498,0.0551102204408817,35.522714833059666
세종,2024,가족·생활,가사수행 격차,1.957664645108498,0.0551102204408817,35.522714833059666
울산,2016,가족·생활,가사수행 격차,0.2487734088867389,0.0551102204408817,4.514106583072101
울산,2017,가족·생활,가사수행 격차,0.2487734088867389,0.0551102204408817,4.514106583072101
울산,2018,가족·생활,가사수행 격차,0.2487734088867389,0.0551102204408817,4.514106583072101
울산,2019,가족·생활,가사수행 격차,0.2487734088867389,0.0551102204408817,4.514106583072101
울산,2020,가족·생활,가사수행 격차,0.2487734088867389,0.0551102204408817,4.514106583072101
울산,2021,가족·생활,가사수행 격차,1.2297812190701416,0.0551102204408817,22.314939211490938
울산,2022,가족·생활,가사수행 격차,2.210789029253543,0.0551102204408817,40.11577183990975
울산,2023,가족·생활,가사수행 격차,3.191796839436946,0.0551102204408817,57.91660446832859
울산,2024,가족·생활,가사수행 격차,3.191796839436946,0.0551102204408817,57.91660446832859
인천,2016,가족·생활,가사수행 격차,1.495615752577952,0.0551102204408817,27.138627655869023
인천,2017,가족·생활,가사수행 격차,1.495615752577952,0.0551102204408817,27.138627655869023
인천,2018,가족·생활,가사수행 격차,1.495615752577952,0.0551102204408817,27.138627655869023
인천,2019,가족·생활,가사수행 격차,1.495615752577952,0.0551102204408817,27.138627655869023
인천,2020,가족·생활,가사수행 격차,1.495615752577952,0.0551102204408817,27.138627655869023
인천,2021,가족·생활,가사수행 격차,1.5918536580550258,0.0551102204408817,28.884908195253026
인천,2022,가족·생활,가사수행 격차,1.688091563532099,0.0551102204408817,30.631188734637004
인천,2023,가족·생활,가사수행 격차,1.7843294690091729,0.0551102204408817,32.377469274020996
인천,2024,가족·생활,가사수행 격차,1.7843294690091729,0.0551102204408817,32.377469274020996
전남,2016,가족·생활,가사수행 격차,1.065294244756618,0.0551102204408817,19.330248295765543
전남,2017,가족·생활,가사수행 격차,1.065294244756618,0.0551102204408817,19.330248295765543
전남,2018,가족·생활,가사수행 격차,1.065294244756618,0.0551102204408817,19.330248295765543
전남,2019,가족·생활,가사수행 격차,1.065294244756618,0.0551102204408817,19.330248295765543
전남,2020,가족·생활,가사수행 격차,1.065294244756618,0.0551102204408817,19.330248295765543
전남,2021,가족·생활,가사수행 격차,1.4377002499799818,0.0551102204408817,26.087724536000405
전남,2022,가족·생활,가사수행 격차,1.8101062552033451,0.0551102204408817,32.84520077623526
전남,2023,가족·생활,가사수행 격차,2.1825122604267095,0.0551102204408817,39.602677016470125
전남,2024,가족·생활,가사수행 격차,2.1825122604267095,0.0551102204408817,39.602677016470125
전북,2016,가족·생활,가사수행 격차,1.3648671179249576,0.0551102204408817,24.766134248892875
전북,2017,가족·생활,가사수행 격차,1.3648671179249576,0.0551102204408817,24.766134248892875
전북,2018,가족·생활,가사수행 격차,1.3648671179249576,0.0551102204408817,24.766134248892875
전북,2019,가족·생활,가사수행 격차,1.3648671179249576,0.0551102204408817,24.766134248892875
전북,2020,가족·생활,가사수행 격차,1.3648671179249576,0.0551102204408817,24.766134248892875
전북,2021,가족·생활,가사수행 격차,2.3057792285903673,0.0551102204408817,41.83941218423977
전북,2022,가족·생활,가사수행 격차,3.246691339255778,0.0551102204408817,58.91269011958668
전북,2023,가족·생활,가사수행 격차,4.187603449921188,0.0551102204408817,75.98596805493356
전북,2024,가족·생활,가사수행 격차,4.187603449921188,0.0551102204408817,75.98596805493356
제주,2016,가족·생활,가사수행 격차,2.5369979148225283,0.0551102204408817,46.03498034532516
제주,2017,가족·생활,가사수행 격차,2.5369979148225283,0.0551102204408817,46.03498034532516
제주,2018,가족·생활,가사수행 격차,2.5369979148225283,0.0551102204408817,46.03498034532516
제주,2019,가족·생활,가사수행 격차,2.5369979148225283,0.0551102204408817,46.03498034532516
제주,2020,가족·생활,가사수행 격차,2.5369979148225283,0.0551102204408817,46.03498034532516
제주,2021,가족·생활,가사수행 격차,2.6356124034238873,0.0551102204408817,47.82438506576437
제주,2022,가족·생활,가사수행 격차,2.734226892025246,0.0551102204408817,49.61378978620357
제주,2023,가족·생활,가사수행 격차,2.832841380626606,0.0551102204408817,51.40319450664279
제주,2024,가족·생활,가사수행 격차,2.832841380626606,0.0551102204408817,51.40319450664279
충남,2016,가족·생활,가사수행 격차,1.686103460341592,0.0551102204408817,30.595113698561985
충남,2017,가족·생활,가사수행 격차,1.686103460341592,0.0551102204408817,30.595113698561985
충남,2018,가족·생활,가사수행 격차,1.686103460341592,0.0551102204408817,30.595113698561985
충남,2019,가족·생활,가사수행 격차,1.686103460341592,0.0551102204408817,30.595113698561985
충남,2020,가족·생활,가사수행 격차,1.686103460341592,0.0551102204408817,30.595113698561985
충남,2021,가족·생활,가사수행 격차,2.00546595837177,0.0551102204408817,36.3900913900914
충남,2022,가족·생활,가사수행 격차,2.324828456401947,0.0551102204408817,42.1850690816208
충남,2023,가족·생활,가사수행 격차,2.644190954432125,0.0551102204408817,47.98004677315021
충남,2024,가족·생활,가사수행 격차,2.644190954432125,0.0551102204408817,47.98004677315021
