지역,연도,구조환경종합지수,합계출산율,구조환경_연도별순위,TFR_연도별순위,구조환경_연도별순위점수,TFR_연도별순위점수,순위차이_TFR_minus_구조환경,절대순위차이,연도별_Spearman_rho,구조환경_시도내_z,TFR_시도내_z,시도별_동시점_Pearson_r
제주,2023,60.474663152866114,0.827,9.0,7.0,50.0,62.5,-2.0,2.0,0.5980392156862745,1.4147914516113305,-1.2034798356986434,-0.9392949824431641
제주,2024,61.99640428127684,0.826,9.0,8.0,50.0,56.25,-1.0,1.0,0.4917229618288157,1.6567313022586971,-1.2083964578145252,-0.9392949824431641
충남,2016,37.84790986957399,1.395,8.0,6.0,56.25,68.75,-2.0,2.0,0.497854170829175,-1.5159293060963241,1.8348885577682013,-0.9615285887880715
충남,2017,41.34221389733153,1.276,8.0,4.0,56.25,81.25,-4.0,4.0,0.4558823529411765,-1.0978725891449055,1.1709812451432882,-0.9615285887880715
충남,2018,44.81126980325091,1.186,7.0,4.0,62.5,81.25,-3.0,3.0,0.5637254901960785,-0.6828365443619664,0.6688664708891517,-0.9615285887880715
충남,2019,45.94543732399154,1.112,8.0,4.0,56.25,81.25,-4.0,4.0,0.4607843137254902,-0.5471453319124188,0.25601654539130747,-0.9615285887880715
충남,2020,50.63070160446245,1.029,7.0,4.0,62.5,81.25,-3.0,3.0,0.5220588235294118,0.013397250411310067,-0.20704485753195226,-0.9615285887880715
충남,2021,52.75878360768916,0.963,8.0,5.0,56.25,75.0,-3.0,3.0,0.5416666666666667,0.2679998747408512,-0.5752623586516517,-0.9615285887880715
충남,2022,56.24375214813435,0.909,7.0,6.0,62.5,68.75,-1.0,1.0,0.5000000000000001,0.6849396988443829,-0.8765312232041329,-0.9615285887880715
충남,2023,61.222572213294065,0.842,7.0,6.0,62.5,68.75,-1.0,1.0,0.5980392156862745,1.280603142608396,-1.2503277773711012,-0.9615285887880715
충남,2024,63.86585235978191,0.883,7.0,5.0,62.5,75.0,-2.0,2.0,0.4917229618288157,1.5968438049106772,-1.0215866024331057,-0.9615285887880715
충북,2016,38.711350115499215,1.358,6.0,7.0,68.75,62.5,1.0,1.0,0.497854170829175,-1.4253780709396744,1.90842555609944,-0.9073369839750772
충북,2017,41.699272840223195,1.235,6.0,7.0,68.75,62.5,1.0,1.0,0.4558823529411765,-1.074246980462247,1.1634935777489186,-0.9073369839750772
충북,2018,45.34544917312242,1.172,5.0,5.0,75.0,75.0,0.0,0.0,0.5637254901960785,-0.6457600382632439,0.7819430522523092,-0.9073369839750772
충북,2019,46.30219508165496,1.05,7.0,8.0,62.5,56.25,1.0,1.0,0.4607843137254902,-0.533326329254293,0.04306743144935372,-0.9073369839750772
충북,2020,48.59986996781884,0.983,9.0,8.0,50.0,56.25,-1.0,1.0,0.5220588235294118,-0.26331094978498204,-0.362708524237516,-0.9073369839750772
충북,2021,52.761958989104826,0.949,7.0,7.0,62.5,62.5,0.0,0.0,0.5416666666666667,0.22580439600873572,-0.5686246808547335,-0.9073369839750772
충북,2022,57.08025088383075,0.871,6.0,7.0,68.75,62.5,1.0,1.0,0.5000000000000001,0.7332762022399435,-1.0410205695648198,-0.9073369839750772
충북,2023,63.07133271633344,0.886,5.0,4.0,75.0,81.25,-1.0,1.0,0.5980392156862745,1.4373289140384071,-0.9501752063513417,-0.9073369839750772
충북,2024,63.99276650824534,0.882,6.0,6.0,68.75,68.75,0.0,0.0,0.4917229618288157,1.5456128564173606,-0.9744006365416025,-0.9073369839750772
